1_event_id,2_event_type,3_event_clock,4_event_ns,5_event_value,6_event_ifrecovery,7_recovery_clock,8_recovery_ns,9_event_duration,10_function_name,11_function_parameter,12_trigger_dscr,13_trigger_expression,14_trigger_flags,15_trigger_priority,16_trigger_type,17_trigger_recovery_mode,18_trigger_recovery_expression,19_item_delay,20_item_name,21_item_type,22_item_value_type,23_item_dscr,24_item_flags,25_item_port,26_item_snmpcommunity,27_item_snmpoid,28_item_units
8237,3,1539704107,848250854,0,0,0,0,0,avg,5m,Interface GigabitEthernet0/0: High error rate,{17040}>{$IF_ERRORS_WARN:"GigabitEthernet0/0"}  or {17041}>{$IF_ERRORS_WARN:"GigabitEthernet0/0"},4,2,0,1,{17040}<{$IF_ERRORS_WARN:"GigabitEthernet0/0"}-2  and {17041}<{$IF_ERRORS_WARN:"GigabitEthernet0/0"}-2,300,Interface GigabitEthernet0/0: Inbound packets with errors,4,3,MIB: IF-MIB  For packet-oriented interfaces the number of inbound packets that contained errors preventing them from being deliverable to a higher-layer protocol.  For character-oriented or fixed-length interfaces the number of inbound transmission units that contained errors preventing them from being deliverable to a higher-layer protocol. Discontinuities in the value of this counter can occur at re-initialization of the management system and at other times as indicated by the value of ifCounterDiscontinuityTime.,4,,{$SNMP_COMMUNITY},1.3.6.1.2.1.2.2.1.14.1,
8330,3,1539704407,46606281,1,1,1539704407,46606281,0,avg,5m,Interface GigabitEthernet0/0: High error rate,{17040}>{$IF_ERRORS_WARN:"GigabitEthernet0/0"}  or {17041}>{$IF_ERRORS_WARN:"GigabitEthernet0/0"},4,2,0,1,{17040}<{$IF_ERRORS_WARN:"GigabitEthernet0/0"}-2  and {17041}<{$IF_ERRORS_WARN:"GigabitEthernet0/0"}-2,300,Interface GigabitEthernet0/0: Inbound packets with errors,4,3,MIB: IF-MIB  For packet-oriented interfaces the number of inbound packets that contained errors preventing them from being deliverable to a higher-layer protocol.  For character-oriented or fixed-length interfaces the number of inbound transmission units that contained errors preventing them from being deliverable to a higher-layer protocol. Discontinuities in the value of this counter can occur at re-initialization of the management system and at other times as indicated by the value of ifCounterDiscontinuityTime.,4,,{$SNMP_COMMUNITY},1.3.6.1.2.1.2.2.1.14.1,
8336,3,1539704407,46606281,0,0,0,0,0,avg,5m,Interface GigabitEthernet0/0: High error rate,{17040}>{$IF_ERRORS_WARN:"GigabitEthernet0/0"}  or {17041}>{$IF_ERRORS_WARN:"GigabitEthernet0/0"},4,2,0,1,{17040}<{$IF_ERRORS_WARN:"GigabitEthernet0/0"}-2  and {17041}<{$IF_ERRORS_WARN:"GigabitEthernet0/0"}-2,300,Interface GigabitEthernet0/0: Inbound packets with errors,4,3,MIB: IF-MIB  For packet-oriented interfaces the number of inbound packets that contained errors preventing them from being deliverable to a higher-layer protocol.  For character-oriented or fixed-length interfaces the number of inbound transmission units that contained errors preventing them from being deliverable to a higher-layer protocol. Discontinuities in the value of this counter can occur at re-initialization of the management system and at other times as indicated by the value of ifCounterDiscontinuityTime.,4,,{$SNMP_COMMUNITY},1.3.6.1.2.1.2.2.1.14.1,
8451,3,1539704711,233475393,1,1,1539704711,233475393,0,avg,5m,Interface GigabitEthernet0/0: High error rate,{17040}>{$IF_ERRORS_WARN:"GigabitEthernet0/0"}  or {17041}>{$IF_ERRORS_WARN:"GigabitEthernet0/0"},4,2,0,1,{17040}<{$IF_ERRORS_WARN:"GigabitEthernet0/0"}-2  and {17041}<{$IF_ERRORS_WARN:"GigabitEthernet0/0"}-2,300,Interface GigabitEthernet0/0: Inbound packets with errors,4,3,MIB: IF-MIB  For packet-oriented interfaces the number of inbound packets that contained errors preventing them from being deliverable to a higher-layer protocol.  For character-oriented or fixed-length interfaces the number of inbound transmission units that contained errors preventing them from being deliverable to a higher-layer protocol. Discontinuities in the value of this counter can occur at re-initialization of the management system and at other times as indicated by the value of ifCounterDiscontinuityTime.,4,,{$SNMP_COMMUNITY},1.3.6.1.2.1.2.2.1.14.1,
8462,3,1539704711,233475393,0,0,0,0,0,avg,5m,Interface GigabitEthernet0/0: High error rate,{17040}>{$IF_ERRORS_WARN:"GigabitEthernet0/0"}  or {17041}>{$IF_ERRORS_WARN:"GigabitEthernet0/0"},4,2,0,1,{17040}<{$IF_ERRORS_WARN:"GigabitEthernet0/0"}-2  and {17041}<{$IF_ERRORS_WARN:"GigabitEthernet0/0"}-2,300,Interface GigabitEthernet0/0: Inbound packets with errors,4,3,MIB: IF-MIB  For packet-oriented interfaces the number of inbound packets that contained errors preventing them from being deliverable to a higher-layer protocol.  For character-oriented or fixed-length interfaces the number of inbound transmission units that contained errors preventing them from being deliverable to a higher-layer protocol. Discontinuities in the value of this counter can occur at re-initialization of the management system and at other times as indicated by the value of ifCounterDiscontinuityTime.,4,,{$SNMP_COMMUNITY},1.3.6.1.2.1.2.2.1.14.1,
8554,3,1539705307,23304733,1,1,1539705307,23304733,0,avg,5m,Interface GigabitEthernet0/0: High error rate,{17040}>{$IF_ERRORS_WARN:"GigabitEthernet0/0"}  or {17041}>{$IF_ERRORS_WARN:"GigabitEthernet0/0"},4,2,0,1,{17040}<{$IF_ERRORS_WARN:"GigabitEthernet0/0"}-2  and {17041}<{$IF_ERRORS_WARN:"GigabitEthernet0/0"}-2,300,Interface GigabitEthernet0/0: Inbound packets with errors,4,3,MIB: IF-MIB  For packet-oriented interfaces the number of inbound packets that contained errors preventing them from being deliverable to a higher-layer protocol.  For character-oriented or fixed-length interfaces the number of inbound transmission units that contained errors preventing them from being deliverable to a higher-layer protocol. Discontinuities in the value of this counter can occur at re-initialization of the management system and at other times as indicated by the value of ifCounterDiscontinuityTime.,4,,{$SNMP_COMMUNITY},1.3.6.1.2.1.2.2.1.14.1,
8560,3,1539705307,23304733,0,0,0,0,0,avg,5m,Interface GigabitEthernet0/0: High error rate,{17040}>{$IF_ERRORS_WARN:"GigabitEthernet0/0"}  or {17041}>{$IF_ERRORS_WARN:"GigabitEthernet0/0"},4,2,0,1,{17040}<{$IF_ERRORS_WARN:"GigabitEthernet0/0"}-2  and {17041}<{$IF_ERRORS_WARN:"GigabitEthernet0/0"}-2,300,Interface GigabitEthernet0/0: Inbound packets with errors,4,3,MIB: IF-MIB  For packet-oriented interfaces the number of inbound packets that contained errors preventing them from being deliverable to a higher-layer protocol.  For character-oriented or fixed-length interfaces the number of inbound transmission units that contained errors preventing them from being deliverable to a higher-layer protocol. Discontinuities in the value of this counter can occur at re-initialization of the management system and at other times as indicated by the value of ifCounterDiscontinuityTime.,4,,{$SNMP_COMMUNITY},1.3.6.1.2.1.2.2.1.14.1,
8651,3,1539705607,733635244,1,1,1539705607,733635244,0,avg,5m,Interface GigabitEthernet0/0: High error rate,{17040}>{$IF_ERRORS_WARN:"GigabitEthernet0/0"}  or {17041}>{$IF_ERRORS_WARN:"GigabitEthernet0/0"},4,2,0,1,{17040}<{$IF_ERRORS_WARN:"GigabitEthernet0/0"}-2  and {17041}<{$IF_ERRORS_WARN:"GigabitEthernet0/0"}-2,300,Interface GigabitEthernet0/0: Inbound packets with errors,4,3,MIB: IF-MIB  For packet-oriented interfaces the number of inbound packets that contained errors preventing them from being deliverable to a higher-layer protocol.  For character-oriented or fixed-length interfaces the number of inbound transmission units that contained errors preventing them from being deliverable to a higher-layer protocol. Discontinuities in the value of this counter can occur at re-initialization of the management system and at other times as indicated by the value of ifCounterDiscontinuityTime.,4,,{$SNMP_COMMUNITY},1.3.6.1.2.1.2.2.1.14.1,
8657,3,1539705607,733635244,0,0,0,0,0,avg,5m,Interface GigabitEthernet0/0: High error rate,{17040}>{$IF_ERRORS_WARN:"GigabitEthernet0/0"}  or {17041}>{$IF_ERRORS_WARN:"GigabitEthernet0/0"},4,2,0,1,{17040}<{$IF_ERRORS_WARN:"GigabitEthernet0/0"}-2  and {17041}<{$IF_ERRORS_WARN:"GigabitEthernet0/0"}-2,300,Interface GigabitEthernet0/0: Inbound packets with errors,4,3,MIB: IF-MIB  For packet-oriented interfaces the number of inbound packets that contained errors preventing them from being deliverable to a higher-layer protocol.  For character-oriented or fixed-length interfaces the number of inbound transmission units that contained errors preventing them from being deliverable to a higher-layer protocol. Discontinuities in the value of this counter can occur at re-initialization of the management system and at other times as indicated by the value of ifCounterDiscontinuityTime.,4,,{$SNMP_COMMUNITY},1.3.6.1.2.1.2.2.1.14.1,
8736,3,1539705907,446070845,1,1,1539705907,446070845,0,avg,5m,Interface GigabitEthernet0/0: High error rate,{17040}>{$IF_ERRORS_WARN:"GigabitEthernet0/0"}  or {17041}>{$IF_ERRORS_WARN:"GigabitEthernet0/0"},4,2,0,1,{17040}<{$IF_ERRORS_WARN:"GigabitEthernet0/0"}-2  and {17041}<{$IF_ERRORS_WARN:"GigabitEthernet0/0"}-2,300,Interface GigabitEthernet0/0: Inbound packets with errors,4,3,MIB: IF-MIB  For packet-oriented interfaces the number of inbound packets that contained errors preventing them from being deliverable to a higher-layer protocol.  For character-oriented or fixed-length interfaces the number of inbound transmission units that contained errors preventing them from being deliverable to a higher-layer protocol. Discontinuities in the value of this counter can occur at re-initialization of the management system and at other times as indicated by the value of ifCounterDiscontinuityTime.,4,,{$SNMP_COMMUNITY},1.3.6.1.2.1.2.2.1.14.1,
